origin,dest,count
6047,6047,332.74818044726845
25017,25027,332.537020986708
12095,12091,332.0371229845227
12057,12103,330.32320678485013
12095,36081,327.62358909848234
53061,53061,326.67972520529486
37183,37183,326.35814610659816
12095,48113,326.2298415555224
25021,25021,325.4960928418747
12095,34003,325.20776002401834
12095,48085,323.7210959781943
12105,12105,321.6511615240576
12095,17043,314.94048645754583
6037,4013,313.55167349166237
12095,42017,309.8765370514575
12095,13057,309.5048710400014
53053,53033,309.189106914842
12095,12119,308.5292477599294
12095,4013,305.2771701596892
12127,12127,304.4842053068294
6071,6065,303.17260342580505
6037,6029,302.5900263157175
36009,36009,302.00981354865536
48167,48201,299.3444827742043
12095,12017,298.5407237020488
12095,39049,295.28864610180864
42003,42003,294.9397331561621
12095,51059,292.5476092673205
29189,29189,291.9030075523097
12095,17197,291.71136074154447
12095,12035,290.03886368999235
47037,47037,287.15166563338767
12095,42101,283.9528327524
6059,6029,283.63377168099333
37119,37119,279.6169334291746
12095,26163,279.58575711779173
12095,12033,278.56367558628773
55133,55133,277.40449347012526
6059,6001,277.3668734913162
6059,6013,276.3098063267923
45051,45051,274.1127885410509
48085,48085,274.09537420279383
6059,6067,269.02359337132424
12095,12113,268.76098453413516
47155,47009,268.47403597077005
12095,48121,267.3672369911751
8005,8005,263.92176254773733
12095,1089,263.5112021223188
6065,6071,259.63785234478934
12095,12005,258.9582934819826
12117,12117,258.4286173649984
26125,26125,255.98500892184623
12095,34005,255.6132993788784
17197,17197,255.48423511749127
13135,13135,254.38205408103642
12095,36029,253.94080232732628
12095,39035,252.87226254439025
12095,47157,252.7328877900943
29183,29183,244.02295441334408
12095,48157,243.67352876085377
12095,47093,243.48769575512569
48113,48085,243.2454568183263
6077,6077,242.87500715644813
12095,34015,242.09394821216563
12095,36047,241.9081152064376
6001,6001,241.6634808267368
17097,17043,240.90107793499547
48113,48439,240.74750985928412
6037,32003,239.66462132469246
12095,12015,239.63166088626946
27049,27123,236.5333605184081
12095,1097,234.7535444859092
27049,27037,234.6475055411834
15009,15009,232.54597201134015
12095,9009,228.34230578829292
12095,6059,225.97293496526075
12095,34007,222.81377386788455
12095,36119,221.09481856490044
12095,26099,220.72315255344444
25025,25025,219.98880751617241
12095,21111,219.8869040276684
17097,17197,218.10451553950944
12095,18057,217.8427409646603
12095,22103,217.65690795893218
6081,6081,215.39673159378427
12095,22051,214.9158711244441
48439,48251,212.5783033077969
6059,6019,212.4705000692973
12095,9003,211.33858576417992
12095,34027,211.24566926131592
6075,6081,210.79731227739862
48491,48491,210.772234218963
12095,9001,209.24796444973975
12095,1117,208.0865081639397
12095,47037,207.76130040391567
47149,47149,207.5748629254616
12095,39061,207.38963439245967
12095,18097,207.25025963816367
12095,45045,207.11088488386767
12095,12055,206.7392188724117
42011,42011,206.47692252131625
12031,12031,206.34279265244155
12095,47065,206.32109460952358
40143,40143,206.0717234289171
6013,6013,205.818630706163
40109,40027,205.804622617564
36061,36047,205.3035093871389
17001,17001,203.54633461390296
12095,48453,203.53359952360347
36055,36055,203.09094761601486
12095,29189,203.0690170092834
6099,6099,202.179401123099
12095,53033,201.76818596918739
47155,47065,199.16099398765823
12095,24031,198.5625666203792
18097,18057,198.05405933742162
12095,47149,197.44756858601107
12095,1003,197.40111033457907
12095,25027,196.1931957973471
13139,13135,196.0136225519957
12095,48339,193.9631997286109
12095,17097,193.68445022001893
17097,17111,193.50975102122442
12095,45019,193.1269512028349
12095,24005,192.70882693994687
12095,27053,192.43007743135482
12095,25009,191.7332036598748
53033,53053,191.30206704451493
12095,13089,191.22216289412282
12095,45051,190.71112212837082
39165,39061,189.69150992609426
6061,6061,189.1765032792015
27003,27003,187.7479054918708
6111,6111,187.31546383911746
12099,12099,186.00885098634393
26099,26099,185.74199332756012
12095,42029,185.22904845939445
12095,24003,184.3927999336184
12095,6073,184.0211339221624
39061,39061,184.00166505650668
12095,12089,183.9282174192984
12095,20091,183.7888426650024
13121,13121,183.42829370837362
46103,46103,181.557049963098
25009,25009,181.4383385017873
12095,51107,180.35093205903416
48201,48157,179.33491727956326
12095,13051,179.2823922760981
47165,47165,178.9673927089171
48157,48157,178.81675621498192
47157,47157,178.15034728162132
31109,31109,177.51934466855857
48141,48141,176.44392202230918
21111,21111,176.24408296568905
42043,42043,176.1861394589829
12095,47187,175.14760789864985
22071,22051,174.78668762923752
12095,25005,173.05698658420974
6059,49035,172.03768102625943
26161,26161,171.66508424485468
1003,1003,171.28149463567172
12095,36085,170.03720024112957
12095,17089,169.52615947537754
6073,6037,169.48048928415975
48039,48039,168.90995349488585
34003,34003,168.66062346464216
48121,48121,168.50281232962905
29095,29095,167.35587658981672
12095,13151,166.73866438945737
12095,42045,166.4134566294334
48439,48139,165.72166668049852
36029,36029,165.1734284673765
34015,34015,164.99385127966264
12095,22033,164.78741782931326
12071,12071,164.65796900244527
12095,13223,164.41575181785728
22055,22055,164.0374402589865
12095,40143,163.71887804637726
29510,29189,163.191618806335
6059,6077,162.90160053287454
36061,36081,162.83397324496266
12095,25021,162.78971301773717
12009,12009,162.41172778619332
53061,53033,160.8907460169435
12095,49035,160.74554995472903
18003,18003,159.9767119227501
48325,48029,159.93089377085983
12095,34013,159.21242765747294
12095,37081,159.07305290317694
48029,48453,158.69858044880303
27049,27053,158.6946963334586
26161,26163,158.3137231244231
47155,47163,158.0633761670797
13215,13215,157.555240148909
25005,25005,157.37991882680822
12057,12105,157.35881661618592
48339,48339,157.0921083361049
12095,10003,156.7036820801448
12095,34039,155.68160054864074
17097,55079,155.10943472144902
12095,37179,154.4736860114087
27053,27037,154.4097846653896
27049,27163,154.40437626027241
12095,1125,153.77681223992863
6059,6081,151.8779001028399
31055,31055,151.7913661822837
18097,18063,151.73665498443725
37081,37081,151.19834547894536
36005,36005,151.12140416018855
6067,6061,150.4067837267704
12095,8035,150.3389016339605
12095,44007,149.96723562250443
6059,53033,149.7637657737922
48113,48121,149.66690603336784
42045,42045,149.01249523814198
12097,12097,147.58128107547898
36059,36103,146.67562445276428
12095,32003,146.43640851367226
12005,12005,146.3433275632229
6059,15003,146.06403069795866
39165,39165,145.79438988377132
12095,34035,145.4607852336002
12095,40109,145.32141047930418
49049,49049,144.95387189871295
36067,36075,143.20215142626688
12095,36055,143.04495615913604
12057,12095,142.9150262054415
48167,48167,142.8698556528914
12095,48491,141.41891735901595
12109,12109,141.11371279605012
36119,36119,141.00308031026006
47155,47089,140.42161095838472
39165,39017,140.30622136114158
12095,25023,140.2110028217839
12095,25025,140.2110028217839
48029,48215,140.10277332940626
42091,42091,139.57058189002413
12095,45063,139.51412905030386
32003,6037,139.31958714710242
12095,45079,139.18892129027984
12095,34001,139.00308828455178
12095,55079,138.91017178168786
48029,48187,138.8343334615452
6097,6097,138.79345127358542
6101,6101,138.48192422237923
6059,49049,137.7962553754327
12095,6085,137.74871549588772
26081,26081,137.33651892433505
17031,17043,136.81985485554858
12095,33011,136.5872592100877
12095,5119,136.5872592100877
6059,6061,136.4371690210449
12095,34021,136.1226766957677
29209,29077,135.85085016419941
12095,29183,135.79746893574364
51810,51810,134.94194274607707
48029,48479,134.40676033787932
36047,36061,133.93903019211731
12095,45091,133.75330587273555
12095,26081,133.05643210125552
6061,6067,132.76644838699994
17097,55059,132.54489840632422
55079,55133,132.3236101941719
47155,45045,131.98548413807177
20177,20177,131.670768435872
22071,22071,131.38630678347133
6075,6001,131.32566730346562
47155,47179,130.93096828553266
12095,42077,130.59414477535935
12095,51810,130.40831176963135
41047,41047,129.94185215075822
36103,36059,129.39602690890908
47155,47149,129.22094257871245
12111,12111,129.15301227406258
6059,4019,129.07545126811078
12095,39153,128.92164772380727
48029,48091,127.8730983770102
12095,39041,127.76019143800724
6095,6095,126.65546772862676
12095,42011,126.59873515220713
31141,31141,126.15650929072285
12095,13139,126.13415263788711
6059,6099,126.05525936947114
39113,39113,125.94100010770066
34025,34021,125.84303663671706
48491,48453,125.83689297331829
12057,12081,125.40978021850671
5007,5007,124.58538738299367
12095,29095,124.50811383776698
12095,18089,124.08998957487896
12095,55133,123.76478181485494
12095,37025,123.53249055769496
36067,36065,123.30238437301571
17097,17089,123.26385519187704
12095,8041,122.32457602046287
18097,18081,122.10713896451351
40109,40083,121.4496949762228
12095,13153,121.0237449803668
42077,42077,120.41082078028776
12095,1081,120.28041295745476
6073,6065,119.65005544363103
1097,1097,119.6170224581702
47155,47011,118.64728362487429
42089,42089,118.41449850818644
12095,39113,118.28270814587866
12095,28047,117.95750038585464
8069,8069,117.94538334233492
12095,11001,117.2141683629426
48323,48323,116.79645442205074
12095,34017,116.70312759719057
12095,39165,115.4952130599585
13067,13121,115.4547639224713
9001,9001,114.70909749969026
12095,42129,114.61250628275046
12095,51153,114.42667327702245
37051,37051,114.33594191041612
27049,27049,113.66990875221883
47155,47001,113.54570693286072
47155,1073,113.4032047906257
12001,12001,113.16272101104956
12095,45083,112.89355097976637
36047,36081,112.83849785155469
13151,13151,112.7269696197342
12095,45015,112.61480147117436
12095,45013,112.28959371115032
4025,4025,112.21573241074059
51085,51087,112.04076049328769
53035,53035,111.65680720136291
51085,51085,111.61678004012457
48439,48367,111.59525317121175
27137,27137,111.30177349937458
12095,34031,111.26751217964622
12095,42071,111.17459567678226
6073,6059,111.15493571566908
12095,42133,110.33834715100622
29189,29099,110.3312994753411
6059,6075,109.1799371358223
12095,48167,109.13043261377415
12095,18063,108.89814135661413
47155,45083,108.84313623910515
17031,17197,108.76928591501922
55133,55079,108.59650700767588
48157,48201,108.58756970710623
12095,36067,108.4335588422941
42017,42017,108.34848397070841
48029,48491,107.697724629711
12095,6065,107.31856080792605
47155,47037,107.304113102967
36061,36005,106.98051158767571
6071,6059,106.87116837711487
51085,51041,106.70174737938187
12095,13185,106.668145287878
47155,1089,106.16409596508689
12095,24027,106.11064627069395
29189,29183,105.97611660131443
12095,37067,105.97127151639795
12095,8005,105.92481326496595
47155,47063,105.39458439701778
8005,8031,105.38193883423573
6059,6107,105.36694486378977
51153,51153,105.20968154189043
12095,19153,105.13502299062193
6059,6095,104.9894208764598
12095,33015,104.67044047630188
12095,12087,104.53106572200588
27053,27123,104.02184466825071
12057,12115,104.01099072954523
6059,6083,103.592582123339
13115,13115,103.52922642757844
12095,55025,102.90502692188578
12095,21067,102.85856867045379
36005,36061,102.79323937799627
42095,42095,102.7242228740833
12095,48039,102.44044440756578
12095,31055,101.97586189324578
36105,36105,101.82136757683041
12095,42095,101.65065413322174
29047,29095,101.12417848752432
42071,42071,99.94449115070648
12095,18003,99.93169883023764
6075,6013,99.8364153163925
48061,48215,99.82389278844865
47155,47187,99.38099399470009
12095,26161,99.2348250587576
48029,48355,99.22550362550707
13139,13139,99.2124679138973
12095,36005,98.90961729873358
34029,34029,98.8150953152224
49035,49049,98.72334900363269
12095,24025,98.53795128727756
21145,21145,98.52824302575449
6025,6025,97.70117690653271
6107,6107,97.6094002903098
12095,37051,97.56232800720551
41067,41051,97.44063447772736
17097,55133,97.4219504916506
12117,12095,97.32474383841215
53033,53061,97.31757577761142
27049,27109,97.2158240759333
12095,37097,97.1906619957495
36081,36061,97.11493904397044
39025,39025,96.51724052181602
12095,39017,96.40087172140542
12095,24033,96.30795521854141
34009,34009,96.18793239518928
39043,39035,95.92805174850555
17197,17031,95.87582508914524
33015,25017,95.75143414749685
19113,19113,95.50434202760805
12095,13077,95.23941543560535
12095,48215,95.10004068130935
12033,12033,94.70112962936376
12095,37101,94.68191641842134
12095,39151,94.63545816698935
12057,12071,94.60682719037577
36009,42083,94.6004725836415
12095,22071,94.31025040696531
6101,6115,93.96188719450609
49011,49011,93.16702239874466
12095,13113,93.10233586973324
12095,13073,93.10233586973324
12095,1101,92.68421160684522
48339,48201,92.59133592808236
13117,13117,92.28136889815356
38015,38015,92.27437193266508
17115,17115,92.24420257859428
47155,12086,92.08488431226728
12095,12131,92.08025433822918
48453,48491,91.90795241591532
20121,20091,91.7643077716024
12095,47165,91.42983881818114
36081,36047,91.38226292273079
48085,48121,91.35477584999953
29213,29213,91.25361572499256
53011,53011,90.90277199622385
6065,6059,90.45944447891102
12095,17111,90.31484078381308
12095,51041,89.80380001806107
17043,17089,89.41244416046558
6085,6001,89.391880688376
34017,34017,88.70004715807268
49011,49035,88.66864047554165
13051,13051,88.45822757740913
39049,39049,88.43152730480793
12095,8059,88.22421946937298
47187,47187,88.17651733339191
12095,22005,88.08484471507695
12095,1069,87.52734569789293
12095,42079,87.43442919502894
8005,8035,87.33962059878054
12095,37063,87.2021379378689
48201,48339,87.05028602864445
33015,25009,87.04274535945068
12095,6001,87.0163049321409
1073,1073,86.84545280370298
12095,28059,86.83047192641287
12095,22063,86.64463892068487
29047,29047,86.50711111190924
17031,17097,86.28102963814253
6095,6013,86.11506354713993
12095,37129,86.08713990350084
49053,49053,85.96988780505433
13185,13075,85.77073470745536
12115,12115,85.73942116984256
1117,1117,85.45758383510879
36059,36081,85.23132581888531
12095,47189,85.1115166234288
47155,45007,85.04527848585751
12095,12107,84.87922536626878
17111,17111,84.64264996930045
47155,37021,84.41826906002342
6065,6037,84.39673702979253
12095,51087,84.18235159478873
12095,36071,83.99651858906074
12095,37071,83.48547782330871
13295,47065,83.33538850436129
13185,13069,83.22937960501224
42129,42129,83.21092795160604
6037,6019,83.07957274173373
12095,9011,82.69568754896467
28121,28121,82.60824745683081
12095,13297,82.60277104610064
47155,47165,82.5372407825212
13313,13313,82.53704320237145
16001,16027,82.23784721648951
36087,36087,82.01976630286556
12011,12099,81.78020848771871
29510,29510,81.68364127550673
26163,26125,81.63810435120678
12097,12095,81.58935400307114
12095,6071,81.30194000600459
12095,13215,80.69798273738854
26065,26065,80.69567724344543
4023,4023,80.53985112343952
25023,25023,80.44931524046093
34001,34001,80.16373397891638
39165,39113,80.14207108007972
22071,22103,79.97354793540988
12095,45007,79.9546507144765
12095,36087,79.7688177087485
12095,25013,79.7223594573165
12086,12011,79.59387457332339
6067,6113,78.77640369399853
47155,47059,78.77518422751679
12095,42019,78.65381967438043
12057,12086,78.53026047232983
12095,22055,78.51444492008444
12011,12086,78.37195629021616
51085,51177,78.24794807821338
6059,32031,78.22297017476617
12095,27037,77.91048765146839
12095,12023,77.30653038285236
12095,26049,77.16715562855634
12095,40027,77.02778087426033
12095,45035,77.02778087426033
4013,4021,77.02124041042504
12095,49049,76.98132262282834
12095,39103,76.88840611996432
33015,33015,76.83951693145741
12091,12091,76.33982404169609
12095,24021,76.28444885134832
48439,48257,76.16553595324561
48183,48183,76.10264819923202
12095,42043,76.0986158456203
36081,36059,75.91538922928726
51059,51059,75.53884446756228
17097,18089,75.23445655711274
6075,6085,75.18704183470821
39043,39093,75.15922402031792
12095,13021,74.65841005122822
12095,28033,74.6119517997962
47155,47157,74.58562124580732
48347,48347,74.52565807928003
12095,36001,74.47257704550019
12095,26139,74.3332022912042
40109,40119,74.21501184513048
12095,39093,74.19382753690819
12095,13015,74.05445278261217
13185,13277,74.03814531784295
12095,22105,73.91507802831616
22019,22019,73.87712641278543
47001,47001,73.72584099007109
29183,29189,73.6786577033673
12095,39095,73.58987026829216
12095,5007,73.58987026829216
48355,48355,73.40728315051447
48215,48215,73.27768519731623
12095,39099,73.26466250826813
27053,27003,73.22292404078607
48029,48209,72.97119164355307
47065,47065,72.96633129945562
12095,13127,72.8465382453801
26145,26145,72.82218603626195
51085,51179,72.78331112633334
17097,55101,72.56615663295915
47155,47189,72.53359039762309
12095,13039,72.38195573106006
8031,8031,72.34261291725444
12095,8001,72.19612272533206
12103,12057,72.09060763035859
12095,1103,72.01028971960405
47155,47105,71.564575830425
12095,47009,71.45279070242002
17097,17201,71.40602623115323
12095,15003,71.35987419955602
12095,17119,70.848833433804
47155,47145,70.73806340546192
49035,49011,70.73453947238927
12095,8031,70.57008392521197
12095,18081,70.52362567377996
12095,42125,70.15195966232396
8001,8001,70.10911417106414
36009,36003,70.06073103898413
36047,36085,69.6771055291397
34029,34025,69.62486264429324
12095,6067,69.31571113654792
12095,47125,69.2692528851159
47155,13135,68.99953727019472
18063,18063,68.89631721491685
29099,29099,68.78272609819159
12057,12053,68.63940399540704
6037,15003,68.51029484965517
12095,42041,68.43300435933986
27053,27163,68.25961759162969
39165,39025,68.07961972449483
12083,12083,67.88403305221594
6059,53061,67.72780332699351
12095,28121,67.45738107926779
12095,12093,67.31800632497179
48029,48493,67.25124582433064
12095,51550,67.2250898221078
13185,13071,67.04941878612435
40027,40109,67.01888749513559
18097,18059,66.80394858603506
47155,21111,66.43449870996443
47155,1117,66.12099399704739
55117,55117,65.919775173981
