origin,dest,count
24033,24033,169.04012572515643
54039,54039,168.61713824082534
42101,42017,168.42220944521722
6111,6037,167.82797467199788
17167,17167,167.5532994440635
17201,17201,165.95906432595802
36085,36085,165.7015550339582
51121,51121,165.15142236935213
26125,26099,164.79726223412715
5007,5007,164.39572577745417
48439,48113,164.1262518107363
36059,36081,162.64574968009498
40109,40027,161.73693912602926
26099,26125,160.09984900368454
6075,6081,158.97202095108818
11001,24033,158.878220058649
6077,6077,158.20575356068684
42129,42129,157.69863623100113
39093,39093,156.453893694619
40109,40017,156.3871498514203
42081,42081,155.9723796190464
25015,25015,155.25758423547282
1069,1069,154.72989282119462
17043,17031,151.53296324754047
50007,50007,151.25506799377246
48113,48439,151.12710522717447
17097,17031,151.00270453123304
39095,39095,149.81535898447137
37063,37063,149.78016574254067
25009,25017,149.6007688683758
29189,29099,149.39777202159254
47163,47163,148.82469457851528
46103,46103,148.57112326893113
42003,42129,147.7064061584444
4013,4021,147.5782745720524
21151,21151,147.4454893008558
29099,29099,145.73546932560782
37025,37119,145.73374313594255
45079,45063,145.57730540868602
28105,28105,145.54066402973598
48113,48121,143.6994952061797
36061,34013,143.37087866985354
12001,12001,143.28960817254992
51770,51023,143.25663033507388
12055,12055,143.05756005279332
36047,36085,142.99346847445844
24510,24005,142.84823391791832
53067,53067,142.70371068179296
47187,47037,141.88853716212563
11001,24031,141.83062463160567
28033,28033,141.67563551450286
48041,48201,141.3191776428686
51710,51710,141.17135081848747
24027,24027,140.3802627970202
36047,36005,140.28175144973468
51760,51760,139.78763388175452
1117,1073,139.7294776618941
29077,29043,139.43407600085234
26139,26139,139.0619285175174
6085,6001,138.67872052387338
29097,29097,138.05565017495763
54061,54061,137.75895312195053
48167,48167,137.75497177198937
12021,12021,137.51064037035763
26145,26145,137.42047087982107
39035,39093,137.31397932028142
47009,47009,136.9700759267995
12099,12011,136.96986346491278
47125,47125,136.58754515521284
17197,17197,136.28026441236543
48201,48339,136.09316322325395
41003,41003,136.00013631642605
45083,45083,135.9752606903565
47189,47189,135.60464455706548
6075,6001,134.44144192755607
5143,5007,134.30789530995682
12095,12117,134.03110146035894
27003,27003,132.61877988559021
19163,19163,132.60370139796308
18097,18057,132.32870247691213
25025,25021,131.8951813762113
22017,22015,131.5496810639603
36103,36059,131.10550129755688
13231,13231,130.78913661238013
39109,39109,129.75513574007618
33015,33015,129.09480957199912
36059,36103,129.0383742927007
49011,49011,127.91528513051507
13113,13113,127.89434110403693
42133,42001,127.663390269405
48375,48381,127.1619808867541
39049,39041,126.84062103697477
29051,29051,126.71102517096728
41017,41017,126.66634578918944
13121,13067,126.36168541965384
48201,48039,125.91598362051376
48439,48251,125.89948125476816
22055,22113,125.83381347980715
36081,36047,125.31015409355524
4025,4025,125.08143391230452
29189,29510,125.04641659272393
13185,13185,123.89896789848824
20177,20177,123.33700075140301
28075,28075,123.086514216389
1043,1043,123.01805999416351
42063,42063,122.7718885669316
47155,47155,119.79170156084207
13121,13135,119.57732186667984
48439,48121,119.43315987470308
29019,29019,119.38918909633594
18063,18097,119.32517631255932
21093,21093,118.85331585868549
37019,37019,118.49397297802936
42101,42045,118.37426607002344
6065,6071,118.01513097734049
42041,42041,117.32324139507212
12057,12101,116.7905016607837
51107,51107,116.72552387725165
19153,19049,116.16007523024498
37119,37179,116.12798119002508
28089,28089,115.80728689020785
55087,55087,115.52164827047672
6013,6001,115.47616629418245
42043,42043,114.94157593704277
41051,41067,114.88333904493466
6047,6047,114.44421786837076
39017,39017,113.797280771826
41005,41005,113.14754047789091
12011,12099,112.74203404882178
48037,48037,112.73691654969952
12109,12109,112.55794143236356
18141,18039,112.42822484788437
27053,27123,111.97293227293993
17143,17143,111.96442557344956
12057,12105,111.59875423785329
37097,37097,111.46776628495032
13135,13139,110.69077041389616
22071,22051,110.6304587885474
29165,29047,110.35833070431364
15009,15009,110.08629039867228
53011,53011,109.9007106447196
23019,23019,109.69885372423944
53037,53037,109.62973833525507
47157,28033,109.36824832859232
27137,27137,109.048261913017
21145,21145,108.95425397314145
49035,49045,108.92577876084928
13067,13057,108.53283058593064
5069,5069,107.9565291525142
6037,6073,107.16630278425464
21037,21037,107.15680573341
55139,55139,107.11671999139628
55009,55009,106.47070880259085
26125,26163,105.28779287835948
48085,48113,105.12398441565409
51770,51067,105.08187023925804
1101,1051,105.01482015827558
6085,6081,104.72288466939129
47065,47011,104.41266351515137
48039,48039,104.35330895817906
25003,25003,104.06351470035715
30111,30111,103.94221635237837
48259,48259,103.87805158577629
36081,36059,103.87673632589683
18081,18081,103.5261061142631
22061,22061,103.10507228917616
39085,39085,102.86925405024631
34039,34023,102.86371744975166
37129,37129,102.50929298504155
11001,51059,102.33926577620308
25017,25021,102.23068221690151
51770,51775,101.80974794533094
4005,4005,101.80351107341629
48181,48181,101.5791334645223
35013,35013,101.39485011116804
13067,13121,101.37815236853405
48245,48245,101.02788676611529
34007,34015,100.58220638217821
29510,29189,100.51012236233652
48397,48397,100.45577909293715
17031,17089,100.39000987597255
21199,21199,100.02399858285129
25021,25025,99.8849191297578
17043,17197,99.59842549664852
39141,39141,99.32455505288107
5115,5115,99.31469133974649
26049,26049,98.91179290213495
48121,48113,98.69069170018416
36047,36059,98.54776504483952
36029,36063,98.30705665036864
9003,9013,98.28817284586883
31019,31019,98.08941437877995
37119,37025,97.95847490297704
24005,24510,97.90922146133889
36061,34023,97.58017962467018
42089,42089,97.51102322675692
8005,8005,97.13832315429056
12095,12097,97.060595618535
41019,41019,96.48480030151778
13135,13089,95.87644731375113
34007,34005,95.83569200571422
47065,13047,95.22872243109613
24031,24033,94.67683594757489
13063,13063,94.35286857851659
55105,55105,94.19763965079832
25021,25017,93.87543447837764
1083,1083,93.7661162598913
48439,48367,93.4658819036532
40143,40131,93.37601686209707
17037,17037,93.2535880060544
6039,6039,93.06671136723446
26099,26163,93.03760319976138
18163,18163,92.41161141118604
29165,29165,92.15417931795969
36061,9001,91.81468403892292
6001,6075,91.756302604571
45013,45013,91.72103883699106
29095,20091,91.63093662855258
6059,6065,91.4681880242583
28035,28035,91.32554450225064
37031,37031,91.29136081327816
51770,51019,91.21430432690045
35001,35043,91.15616167184055
22079,22079,90.56598676557552
33013,33013,90.55228799015312
40039,40039,90.4205379191324
37183,37101,89.55197926431076
39155,39155,89.48155380459039
48375,48375,89.42978605436207
47037,47187,89.33580255785819
39165,39165,89.26493370826309
49035,49057,89.2289603792578
42125,42125,88.93640037862345
48355,48409,88.74016084210079
51085,51085,88.48935271402028
42049,42049,88.12713281551979
42069,42069,87.56944858127163
34031,34013,87.4272094549699
25005,25005,87.23555183975668
53061,53033,86.970637337913
53053,53033,86.89047003925089
6075,6013,86.70216137204253
13057,13057,86.6140518664934
24031,11001,85.95529204067041
26081,26139,85.75216152147603
6089,6089,85.71821365147545
12117,12127,85.71060298508236
30063,30063,85.6289373381319
28073,28035,85.43944719323413
