id,lat,lon
1001,32.500389,-86.494165
1003,30.548923,-87.762381
1005,31.844036,-85.310038
1007,33.030921,-87.127659
1009,33.955242999999996,-86.591491
1011,32.116327000000005,-85.701192
1013,31.773539000000003,-86.65355
1015,33.72546,-85.81944200000001
1017,32.860439,-85.266474
1019,34.179333,-85.629194
1021,32.877547,-86.68740600000001
1023,32.016562,-88.26416400000001
1025,31.685685,-87.815673
1027,33.272412,-85.820227
1029,33.62977,-85.494315
1031,31.354433,-85.904715
1033,34.723385,-87.685151
1035,31.418674,-86.996483
1037,32.975932,-86.155035
1039,31.282449,-86.410955
1041,31.743487,-86.29708000000001
1043,34.162362,-86.831859
1045,31.383346000000003,-85.641269
1047,32.408815000000004,-87.03495500000001
1049,34.45511,-85.817208
1051,32.559652,-86.225647
1053,31.088737,-87.282053
1055,34.013692999999996,-86.02539300000001
1057,33.726422,-87.77035500000001
1059,34.460481,-87.793594
1061,31.09426,-85.788849
1063,32.830505,-87.92399999999999
1065,32.775804,-87.62608399999999
1067,31.478593,-85.268828
1069,31.20455,-85.391221
1071,34.731984000000004,-85.938698
1073,33.518601000000004,-86.814688
1075,33.762769,-88.109649
1077,34.866178999999995,-87.60875899999999
1079,34.543683,-87.272414
1081,32.588091999999996,-85.345833
1083,34.815612,-86.93897199999999
1085,32.162415,-86.618688
1087,32.425739,-85.715007
1089,34.746392,-86.613232
1091,32.340478999999995,-87.800648
1093,34.111796999999996,-87.8743
1095,34.311974,-86.293279
1097,30.683993,-88.170637
1099,31.505611,-87.36089399999999
1101,32.346175,-86.243797
1103,34.514252,-86.93078100000001
1105,32.581066,-87.369219
1107,33.292972999999996,-88.06647199999999
1109,31.787277000000003,-85.948647
1111,33.257607,-85.427266
1113,32.421972,-85.062843
1115,33.660628,-86.369107
1117,33.290719,-86.737978
1119,32.57442,-88.232646
1121,33.372083,-86.169238
1123,32.85306,-85.864503
1125,33.214154,-87.520229
1127,33.834858000000004,-87.253922
1129,31.410368,-88.18611999999999
1131,31.999753000000002,-87.38040699999999
1133,34.163824,-87.415693
2013,54.860151,-162.90153600000002
2016,54.023571,-168.292885
2020,61.192232,-149.793182
2050,60.679945999999994,-162.151263
2060,58.735464,-156.834047
2068,63.882844999999996,-149.032949
2070,59.136256,-158.718472
2090,64.831552,-147.624018
2100,59.264125,-135.559897
2105,58.078281999999994,-135.384163
2110,58.358516,-134.530605
2122,60.292592000000006,-151.064475
2130,55.367858,-131.678527
2150,57.779137,-152.460881
2164,58.557351000000004,-156.371652
2170,61.611281000000005,-149.421961
2180,64.457026,-165.295491
2185,70.522779,-154.862085
2188,66.943735,-161.63818500000002
2195,56.812712,-133.115025
2198,55.448164,-132.56084199999998
2201,,
2220,57.062746,-135.33717099999998
2230,59.464535999999995,-135.311501
2232,,
2240,63.856184999999996,-144.687024
2261,61.26149,-145.882504
2270,62.089902,-164.314723
2275,56.38582099999999,-132.31083700000002
2280,,
2282,59.547975,-139.724878
2290,65.010262,-152.550423
4001,35.577687,-109.41483999999998
4003,31.607357,-110.063053
4005,35.514426,-111.590056
4007,33.82356,-111.007494
4009,32.867329999999995,-109.81218100000001
4011,32.970402,-109.24871200000001
4012,33.908361,-114.172146
4013,33.493403,-112.04143
4015,35.069679,-114.24963400000001
4017,34.893625,-110.211155
4019,32.216707,-110.96001000000001
4021,33.060133,-111.58836399999998
4023,31.434733,-110.94319499999999
4025,34.629014,-112.26776699999999
4027,32.650040000000004,-114.59866299999999
5001,34.405316,-91.46128399999999
5003,33.179373,-91.87136
5005,36.332208,-92.383933
5007,36.337348,-94.23054300000001
5009,36.267871,-93.09934399999999
5011,33.569321,-92.103312
5013,33.591116,-92.49555500000001
5015,36.373069,-93.57081600000001
5017,33.32186,-91.31837800000001
5019,34.094705,-93.12485600000001
5021,36.370695,-90.37241800000001
5023,35.510232,-92.037481
5025,33.914989,-92.139146
5027,33.258045,-93.24745899999999
5029,35.214487,-92.70416
5031,35.835235,-90.669325
5033,35.496882,-94.28435999999999
5035,35.17736,-90.217261
5037,35.252833,-90.775307
5039,33.869213,-92.527123
5041,33.773838,-91.417485
5043,33.6274,-91.781779
5045,35.104918,-92.40535899999999
5047,35.446102,-93.885464
5049,36.376787,-91.764934
5051,34.505811,-93.081852
5053,34.309174,-92.41271400000001
5055,36.07312,-90.523016
5057,33.699647,-93.623587
5059,34.353464,-92.894595
5061,33.983198,-93.910184
5063,35.749801,-91.607539
5065,36.120217,-91.908429
5067,35.621102,-91.24623299999999
5069,34.233473,-92.041179
5071,35.475272,-93.47551700000001
5073,33.287628999999995,-93.557538
5075,36.070223999999996,-91.065733
5077,34.785214,-90.774516
5079,33.975379,-91.746234
5081,33.700518,-94.195995
5083,35.227532000000004,-93.768119
5085,34.905178,-91.970577
5087,36.061309,-93.755297
5089,36.28457,-92.663368
5091,33.400831,-93.987504
5093,35.84288,-89.999037
5095,34.777729,-91.218021
